Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,DroughtMort,
1, ClayLoam2, 4, 67166, 9.5, 3565, 7606.8, 1.4, 1.4, 0, 126.2, 1.55, 326, 0.2, 0.2, 0.2, 3576.2, 3461.6, 772.9, 446.3, 14.3, 2.5, 0, 0, 1759, 56.3, 1262.7, 487, 0, 0, 14.5, 19.7, 2.4, 2.1, 0.1, 0.3, 0, 0, 175, 5.5, 50.5, 54.5, 0, 0, 0, 0, 0.1, 0, 0, 0, 1.64, 0, 0, 0, 0, 0, 0, 287.4, 2.6, 0, 86.1, 
1, ClayLoam1, 5, 4459, 6.9, 3714.1, 10826.4, 1.6, 1.6, 0, 189.1, 1.4, 367.3, 0.2, 0.3, 0.3, 5091.2, 4937, 746.8, 487.7, 6.1, 1.1, 0, 0, 1861.6, 57.8, 1295.2, 499.5, 0, 0, 29.4, 31.5, 3.2, 2.8, 0, 0.1, 0, 0, 185.6, 5.7, 51.8, 55.9, 0, 0, 0, 0, 0.1, 0, 0, 0, 1.34, 0, 0, 0, 0, 0, 0, 300.4, 2.46, 0, 369.3, 
1, ClayLoam4, 6, 1586, 11, 6045.5, 18384.5, 2.1, 2.1, 0.1, 388.4, 1.88, 556.9, 0.3, 0.4, 0.4, 8642.2, 8102.6, 1349.1, 1000.2, 26, 4.6, 0, 0, 2672.7, 104.4, 2358.6, 909.9, 0, 0, 28.2, 43.8, 4.6, 5, 0.1, 0.5, 0, 0, 266.3, 10.3, 94.3, 101.9, 0, 0, 0, 0, 0.2, 0, -0.1, 0, 2.22, 0, 0, 0, 0, 0, 0, 475.2, 2.87, 0, 726, 
1, Sands3, 7, 22943, -46.1, 5144.5, 15466.5, 54, 53.9, 0.8, 291, 1.48, 481.2, 0.9, 10, 9.9, 7261.1, 6942.5, 1436.3, 895.7, 23.4, 4.3, 0.4, 0.5, 2435.3, 92.5, 1889.3, 727.4, 0.2, 0.2, 26.7, 39.1, 4.4, 4.3, 0.1, 0.4, 0, 0, 239.1, 8.5, 75.3, 81.5, 0, 0, 0, 0, 0.5, 0.1, -0.1, 0, 1.96, 0, 0, 0, 0, 0.9, 0, 406.3, 2.6, 0, 402.6, 
1, Sands2, 8, 21735, 1.2, 3905.6, 9260.7, 6.4, 6.4, 0.1, 158, 1.5, 359.8, 0.3, 1.2, 1.2, 4352.8, 4196.6, 736.2, 493.2, 17.2, 3, 0, 0.1, 1896.7, 62.8, 1404.4, 541.7, 0, 0, 17.3, 24.1, 2.5, 2.4, 0.1, 0.3, 0, 0, 188.7, 6.1, 56.1, 60.7, 0, 0, 0, 0, 0.2, 0, 0, 0, 1.59, 0, 0, 0, 0, 0.1, 0, 313.5, 2.57, 0, 174.4, 
1, Sands1, 9, 27903, 3.7, 3527.5, 7861.7, 1.4, 1.4, 0, 139.3, 1.32, 329.9, 0.2, 0.2, 0.2, 3696.4, 3625.1, 382, 285.8, 5, 0.9, 0, 0, 1781, 53.9, 1221.3, 471.3, 0, 0, 18, 22.5, 1.7, 1.7, 0, 0.1, 0, 0, 177.8, 5.3, 48.8, 52.8, 0, 0, 0, 0, 0.1, 0, 0, 0, 1.2, 0, 0, 0, 0, 0, 0, 286.2, 2.4, 0, 149.5, 
1, Sands4, 10, 7168, -18, 6602, 21710.2, 57.5, 57.5, 0.8, 612.5, 2, 617.9, 1.8, 10.7, 10.7, 10196.5, 9400.6, 1791.2, 1387.7, 24.6, 4.5, 0.3, 0.5, 3079.6, 128.1, 2450.8, 943.5, 0.3, 0.3, 32.7, 52.1, 6, 7.3, 0.1, 0.4, 0, 0, 302.2, 11.4, 97.5, 105.7, 0, 0, 0, 0, 0.9, 0.1, -0.3, 0, 2.65, 0, 0.06, 0, 0, 1.1, 0, 519.3, 3.06, 0, 1385.8, 
1, Shallow3, 11, 25924, -245.2, 4525.7, 11830.4, 206.2, 205.8, 4.7, 255.6, 0.73, 410, 2.1, 36.6, 36.6, 5525.7, 5222.8, 1364.8, 720.5, 22.4, 4.3, 1.9, 2.6, 2263.1, 95.7, 1567.4, 599.5, 0.8, 0.8, 21.6, 28.9, 3.8, 3.1, 0.1, 0.4, 0, 0.1, 213.5, 7.4, 61.8, 67.1, 0, 0, 0, 0, 1.1, 0.1, -0.1, 0, 1.98, 0.04, 0.1, 0, 0, 3.3, 0.1, 351.2, 1.83, 0, 161, 
1, Shallow2, 12, 26415, -193.1, 3930.8, 9182.9, 133.4, 133.2, 3.1, 177.7, 0.76, 358, 1.2, 23.6, 23.6, 4294.1, 4110.4, 887.1, 552.6, 15.7, 3, 1.3, 1.7, 1948.1, 73.4, 1378.7, 530.7, 0.5, 0.5, 17.6, 22.7, 2.8, 2.6, 0.1, 0.3, 0, 0.1, 189.6, 6.4, 54.8, 59.4, 0, 0, 0, 0, 0.7, 0.1, -0.1, 0, 1.61, 0.02, 0.08, 0, 0, 2.1, 0, 311.3, 1.89, 0, 135.4, 
1, Shallow1, 13, 10612, -182.8, 4308.5, 10477.9, 108.8, 108.4, 3.1, 216.6, 0.6, 407.3, 0.8, 18.8, 18.7, 4908.7, 4622.6, 784.4, 498.4, 12.8, 2.5, 1.3, 1.7, 2185.1, 70.6, 1481.4, 571.4, 0.4, 0.4, 24.2, 29.5, 3, 2.8, 0.1, 0.2, 0, 0.1, 216.3, 6.6, 59.1, 64, 0, 0, 0, 0, 0.5, 0.1, 0, 0, 1.07, 0.01, 0.05, 0, 0, 1.9, 0, 346.9, 1.52, 0, 284.5, 
